data,tempo resposta
"2018-04-11T03:03:44.839Z",20
"2018-04-11T03:03:44.859Z",5
"2018-04-11T03:03:44.864Z",3
"2018-04-11T03:03:44.867Z",3
"2018-04-11T03:03:44.870Z",4
"2018-04-11T03:03:44.874Z",3
"2018-04-11T03:03:44.877Z",3
"2018-04-11T03:03:44.880Z",4
"2018-04-11T03:03:44.884Z",3
"2018-04-11T03:03:44.887Z",3
"2018-04-11T03:03:44.890Z",4
"2018-04-11T03:03:44.894Z",4
"2018-04-11T03:03:44.898Z",3
"2018-04-11T03:03:44.901Z",4
"2018-04-11T03:03:44.905Z",3
"2018-04-11T03:03:44.908Z",4
"2018-04-11T03:03:44.912Z",3
"2018-04-11T03:03:44.915Z",4
"2018-04-11T03:03:44.919Z",3
"2018-04-11T03:03:44.922Z",3
"2018-04-11T03:03:44.925Z",6
"2018-04-11T03:03:44.931Z",4
"2018-04-11T03:03:44.935Z",3
"2018-04-11T03:03:44.938Z",4
"2018-04-11T03:03:44.942Z",18
"2018-04-11T03:03:44.960Z",3
"2018-04-11T03:03:44.963Z",4
"2018-04-11T03:03:44.967Z",3
"2018-04-11T03:03:44.970Z",4
"2018-04-11T03:03:44.974Z",4
"2018-04-11T03:03:44.978Z",4
"2018-04-11T03:03:44.982Z",3
"2018-04-11T03:03:44.985Z",3
"2018-04-11T03:03:44.988Z",5
"2018-04-11T03:03:44.993Z",4
"2018-04-11T03:03:44.997Z",3
"2018-04-11T03:03:45.000Z",3
"2018-04-11T03:03:45.003Z",4
"2018-04-11T03:03:45.007Z",3
"2018-04-11T03:03:45.010Z",3
"2018-04-11T03:03:45.013Z",3
"2018-04-11T03:03:45.016Z",4
"2018-04-11T03:03:45.020Z",3
"2018-04-11T03:03:45.023Z",3
"2018-04-11T03:03:45.026Z",4
"2018-04-11T03:03:45.030Z",3
"2018-04-11T03:03:45.033Z",3
"2018-04-11T03:03:45.036Z",3
"2018-04-11T03:03:45.039Z",2
"2018-04-11T03:03:45.041Z",4
"2018-04-11T03:03:45.045Z",3
"2018-04-11T03:03:45.048Z",4
"2018-04-11T03:03:45.052Z",3
